Rank,Gender,Department,Department_Other,H,State,Salary_Dependency_In_Month,Salary_Dependency_In_Month_Other,Research_Funded_By_External_Grants,Deadline_Today,Workload_Today,Workplace,Workplace_Other,RS,WH,TWR,TWT,TWA,TWO,TW_Sum,BR,BR_Other,Email,Proposal,NP,Funding_Agency,Funding_Agency_Other,P_SR,AP,P_AR,P_DWH,P_DWR,P_DWT,P_DWA,P_DWO,P_DW_SUm,PDR,PDT,PDA,PDO,PD_Sum,P_T,P_DS,P_Disrupted_Research,P_Disrupted_Sleep,P_Disrupted_Diet,P_Disrupted_PA,P_Disrupted_IR,About_Proposal_Deadline,Conference,NCP,CR,C_SR,ACP,AR,C_DWH,C_DWR,C_DWT,C_DWA,C_DWO,C_DW_Sum,DDR,CDT,CDA,CDS,CD_Sum,C_T,C_DS,C_Disrupted_Research,C_Disrupted_Sleep,C_Disrupted_Diet,C_Disrupted_PA,C_Disrupted_IR,About_Conf_Deadline,how_mentally_demanding_was,how_physically_demanding_w,how_hurried_or_rushed_was,how_successful_were_you_in,how_hard_did_you_have_to_w,how_insecure_discouraged_i,i_feel_pleast,i_feel_nervous_and_restles,i_feel_satisfied_with_myse,i_wish_i_could_be_as_happy,i_feel_like_a_failure,i_feel_rested,i_am_calm_cool_and_collect,i_feel_that_difficulties_a,i_worry_too_much_over_some,i_am_happy,i_have_disturbing_thoughts,i_lack_self_confidence,i_feel_secure,i_make_decisions_easily,i_feel_inadequate,i_am_content,some_unimportant_thought_r,i_take_disappointments_so,i_am_a_steady_person,i_get_in_a_state_of_tensio,is_talkative,is_reserved,is_curious_about_many_diff,is_full_of_energy,starts_quarrels_with_other,is_a_reliable_worker,can_be_tense,does_a_through_job,gets_nervous_easily,is_ingenious_a_deep_thinke,take_some_time_off_and_get,focus_on_the_problem_and_s,blame_myself_for_having_go,treat_myself_to_a_favorite,feel_anxious_about_not_bei,think_about_how_i_solved_s,visit_a_friend,determine_a_course_of_acti,ciss9,blame_myself_for_being_too,work_to_understand_the_sit,become_very_upset,take_corrective_action_imm,blame_myself_for_not_knowi,spend_time_with_a_special,think_about_the_event_and,wish_that_i_could_change_w,go_out_fora_snack_or_meal,analyze_my_problem_before,focus_on_my_general_inadeq,phone_a_friend
Professor,Female,Chemistry,,22,Texas,Three months,,25-1%,No,Heavy,Office,,Hands-off,40-50,30,30,30,10,100,Every 1-2 hours,,Answer email in batches once  or twice per day,Yes,2,NSF,,< 10%,1-2 months,> 12 months,Significantly more,70,20,10,0,100,100,,,,100,1 day before deadline,Significantly  more,3,4,3,4,3,Feel like institution and department does not appreciate or support my proposal writing efforts,Yes,1,A,> 90%,> 2 months,3-6 months,About the same,50,30,10,10,100,50,30,10,10,100,2 or more days before deadline,Same,1,1,1,1,1,,5,2,5,2,6,6,2,4,2,1,2,2,2,4,3,3,2,1,3,2,2,3,1,2,3,3,4,4,2,2,3,3,3,4,4,4,4,2,4,3,4,1,4,2,1,3,4,3,3,4,4,2,4,3,3,3,4
Associate Professor,Male,Medicine,,19,Ohio,6,6,100-75%,No,Standard,Office,,Hands-off,> 50,50,30,10,10,100,Every 3-4 hours,,Answer email as it comes,Yes,1,NIH,,20-30%,> 2 months,> 12 months,Significantly more,80,10,10,0,100,60,20,10,10,100,1 day before deadline,Same,3,4,4,5,4,,Yes,1,B,75-90%,2-4 weeks,6-12 months,About the same,50,30,10,10,100,70,10,10,10,100,1 day before deadline,Same,3,2,2,2,2,,5,1,5,5,5,5,3,2,3,2,1,1,3,2,1,3,1,2,3,3,2,2,1,1,3,1,3,5,2,3,2,4,3,4,3,3,4,4,4,4,3,3,2,4,1,2,4,1,3,3,2,3,5,1,3,2,2
Professor,Female,Engineering,,25,Texas,Three months,,100-75%,Yes,Heavy,"Coffee Shop (Non-COVID, Obvs)","Coffee shop (non-COVID, obvs)",Hands-on,> 50,30,20,30,20,100,Every 1-2 hours,,Answer email in batches once  or twice per day,Yes,3,NSF,,10-20%,1-2 months,1-3 months,More,60,20,10,10,100,30,20,30,20,100,3-6 hours before deadline,Same,4,4,3,4,3,,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,4,1,5,4,4,5,1,3,1,2,2,1,1,3,3,2,1,2,1,3,2,1,3,2,2,3,3,4,1,1,1,2,5,5,5,4,3,5,4,4,3,5,1,4,2,3,5,4,3,3,2,4,5,4,3,4,1
Assistant Professor,Female,Engineering,,20,Texas,Three months,,50-25%,Yes,Heavy,Office,,Hands-on,> 50,30,30,20,20,100,Every 3-4 hours,,Answer email in batches once  or twice per day,Yes,1,DOE,,< 10%,1-2 months,> 12 months,More,70,30,0,0,100,60,30,10,0,100,1-3 hours before deadline,Significantly  more,4,4,4,5,5,There is tremendous pressure to submit.  Process is extremely confusing with very limited support. Most of the time people who get these things are already known to the granting institutions.  It is a good old boy network and there is no way to break in.  Still have to try even though you know there is no way you will get it.,Yes,2,B,75-90%,> 2 months,> 12 months,More,70,20,10,0,100,70,20,10,0,100,1-3 hours before deadline,Significantly  more,3,4,3,4,4,"The problem with submitting to conferences is that for tenure purposes these papers count less.  I submit to conferences with my students, however, to get them exposure",5,2,5,3,4,6,2,4,1,3,4,1,1,3,2,2,1,3,1,2,4,2,2,3,2,3,4,4,1,1,1,4,1,5,4,3,2,4,5,4,5,4,4,5,2,5,4,3,4,5,4,4,5,3,2,5,4
Professor,Female,Engineering,,32,Texas,Three months,,Not funded,No,Standard,Home,,Hands-on,> 50,50,20,10,20,100,Every 1-2 hours,,Answer email in batches once  or twice per day,Yes,1,DOE,,< 10%,1-2 months,6-12 months,About the same,50,20,10,20,100,50,20,10,20,100,1 day before deadline,Same,3,3,2,2,1,too few appropriate funding opportunties,Yes,2,C,30-50%,1-2 months,6-12 months,About the same,50,20,10,20,100,50,20,10,20,100,1 day before deadline,Same,3,3,2,2,1,Professional conferences I attend have no CORE rank; they typically have 2000 to 10000 participants,5,1,1,4,4,1,3,2,3,1,1,4,3,2,1,3,2,2,3,3,2,3,2,2,3,2,4,5,4,4,1,5,4,5,2,5,4,5,4,2,4,5,3,4,4,2,5,2,4,2,3,4,4,2,4,2,3
Professor,Female,Chemistry,,35,Texas,Three months,,75-50%,Yes,Heavy,Office,,Hands-on,> 50,70,20,10,,100,Other,no breaks; working from 6 am to 6 pm in my office and at home from 7 to 9 pm,Answer email as it comes,Yes,3,NSF,,10-20%,2-4 weeks,6-12 months,Significantly more,70,20,10,,100,100,,,,100,1 day before deadline,Extremely  more,3,3,3,3,3,,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,7,5,7,6,6,4,3,3,2,2,2,2,2,2,2,2,1,2,2,4,2,2,1,2,3,2,3,5,1,3,1,2,1,5,2,3,2,5,3,3,3,3,1,4,4,2,5,2,4,2,2,3,3,2,4,2,1
Professor,Female,Other,"Speech, Language, and Hearing",33,Texas,Three months,,100-75%,Yes,Heavy,Home,,Hands-off,> 50,20,30,40,10,100,Every 3-4 hours,,Answer email in batches once  or twice per day,Yes,1,DOD,,50-75%,> 2 months,6-12 months,Significantly more,70,20,10,0,100,100,0,0,0,100,3-6 hours before deadline,Extremely  more,4,5,5,5,5,,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,4,1,1,7,5,4,2,2,2,2,1,1,4,2,1,2,1,1,4,3,1,2,1,1,4,1,5,2,1,4,2,3,4,5,1,3,1,5,1,5,1,5,5,5,4,2,5,1,3,1,1,5,2,5,4,1,3
Associate Professor,Female,Psychology,,24,Texas,Three months,,Fully funded,Yes,Heavy,Home,,Hands-on,> 50,40,30,20,10,100,Other,5,Answer email in batches once  or twice per day,Yes,2,NIH,,20-30%,1-2 months,> 12 months,Significantly more,70,20,10,0,100,70,20,10,0,100,1 day before deadline,Significantly less,4,5,5,5,2,,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,6,2,7,5,7,4,3,3,2,2,3,1,4,2,1,3,1,1,4,4,1,3,1,2,3,3,4,2,5,2,1,3,2,5,3,1,3,5,2,1,4,4,1,5,1,3,4,4,5,1,5,5,5,1,2,2,1
Associate Professor,Female,Engineering,,9,Texas,Three months,,100-75%,Yes,Heavy,Office,,Hands-on,40-50,40,30,20,10,100,Every 3-4 hours,,Answer email as it comes,Yes,2,NSF,,50-75%,1-2 months,> 12 months,Significantly more,70,10,10,10,100,90,10,0,0,100,1-3 hours before deadline,Same,2,3,3,4,3,Deadlines are good to get things done. Sometimes I try to submit something for a deadline I know isn't realistic just to make enough progress for a future more realistic one. Although the last time I tried that I actually did finish the proposal and it got funded first time around!! So turning out to be a fantastic strategy ,Yes,4,A,20-30%,> 2 months,> 12 months,More,50,30,20,0,100,40,30,10,10,90,Minutes before deadline,Significantly  more,1,4,3,3,3,I personally have trouble getting papers published even though I'm very good at getting grant funding. I don't know why - perhaps due to previously being at a lower tier school. There is some stress associated with putting so much work into something that has such little ROI,5,1,1,3,5,4,4,2,3,2,2,1,4,2,2,4,2,1,4,3,1,4,1,1,4,1,4,5,1,5,1,4,3,4,1,5,1,5,5,4,1,4,1,5,1,4,5,2,5,3,4,5,4,3,4,3,2
Assistant Professor,Male,Physics,,32,Texas,Three months,,Fully funded,Yes,Heavy,Office,,Hands-on,40-50,40,50,0,10,100,Every 3-4 hours,,Answer email in batches once  or twice per day,Yes,2,NASA,,10-20%,1-2 months,6-12 months,Significantly more,80,20,0,0,100,0,70,20,10,100,1 day before deadline,Significantly less,5,5,5,5,4,"Proposal deadlines would be much less problematic if they were tuned to typical faculty schedules. For example have proposals due during summer/winter breaks. Also the stress can be slightly reduced by only requiring documents necessary for evaluating the proposal at the deadline and then requiring the rest only of highly ranked proposals. For example require  project description, summary, DMP , biosketches and a rough budget at submission and only request full budgets, F&E, current and pending support, list of collaborators only of the selected proposals and perhaps a few  backups. ",No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,7,1,5,6,7,4,3,2,3,1,1,1,2,1,2,2,1,1,2,3,1,3,1,2,3,3,3,5,1,3,5,3,2,5,4,3,1,5,4,4,4,3,1,5,1,1,3,4,4,2,1,3,4,3,3,1,1
Associate Professor,Male,Engineering,,26,Texas,Three months,,Fully funded,No,Light,Home,,Hands-on,40-50,40,30,10,20,100,Every hour,,Answer email as it comes,Yes,2,NSF,,10-20%,> 2 months,1-3 months,More,40,30,10,20,100,50,40,0,10,100,1 day before deadline,Significantly  more,5,2,1,3,2,"Most of the stress actually comes from dealing with my University OSP.  If the proposal submission could be done without involving them, it would be much better.",No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,4,1,1,5,4,5,2,3,1,2,3,2,2,2,3,2,3,3,2,2,2,2,3,2,3,3,4,2,4,1,3,2,4,4,4,5,4,4,5,4,2,3,2,2,3,2,4,3,2,4,4,2,5,4,4,4,1
Professor,Female,Engineering,,27,Texas,Three months,,100-75%,Yes,Heavy,Office,,Hands-on,> 50,60,0,30,10,100,Other,Do not,Answer email in batches once  or twice per day,Yes,2,NSF,,10-20%,2-4 weeks,1-3 months,Significantly more,80,0,10,10,100,80,0,10,10,100,1 day before deadline,Extremely  more,4,3,4,3,3,One issue is the amount of paperwork that we need to submit to our own office of research on top of the agency requirements. (And often a week or so before deadlines). Seems that it would be better to divorce the proposal and the budget entirely. You propose work in a certain window of budget. If it is likely to get funded then you submit the budget through the Office of Research and then on to the agency. It would allow researchers to concentrate on one task.,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,4,4,4,3,4,4,2,3,1,3,3,1,2,3,2,2,1,3,2,2,3,2,2,2,2,1,4,3,3,3,4,2,3,4,4,4,2,4,3,3,4,4,2,4,1,4,4,3,3,4,4,5,3,2,4,4,1
Professor,Male,Chemistry,,84,Texas,Three months,,75-50%,No,Standard,Office,,Hands-off,> 50,50,30,10,10,100,Every 3-4 hours,,Answer email as it comes,Yes,1,NSF,,75-90%,> 2 months,6-12 months,More,60,30,10,,100,60,30,10,,100,2 or more days before deadline,Same,3,3,3,3,3,,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,4,2,3,5,4,3,4,2,3,2,1,2,3,2,2,4,1,2,3,3,1,3,2,2,4,1,2,4,1,4,1,4,1,5,3,4,2,5,2,4,2,5,3,4,4,4,5,2,5,1,4,5,4,2,4,2,3
Professor,Male,Biology,,31,Florida,Three months,,25-1%,No,Standard,Home,,Hands-on,40-50,50,30,10,10,100,Every 1-2 hours,,Answer email in batches once  or twice per day,Yes,1,NSF,,20-30%,> 2 months,> 12 months,About the same,50,30,10,10,100,40,30,20,10,100,2 or more days before deadline,Significantly  more,3,3,3,3,4,,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,6,4,3,5,4,2,4,2,4,1,1,3,3,1,2,4,1,1,3,3,1,3,1,1,2,1,1,5,1,4,1,3,4,4,2,5,4,3,3,2,2,4,4,4,2,2,4,1,3,1,2,4,2,2,4,3,3
Associate Professor,Female,Psychology,,52,Georgia,2,2,75-50%,Yes,Heavy,Home,,Hands-on,> 50,20,30,50,,100,Every 3-4 hours,,Answer email as it comes,Yes,1,NIH,,20-30%,> 2 months,> 12 months,Significantly more,40,30,30,,100,80,0,20,,100,1 day before deadline,Significantly  more,3,4,3,4,4,,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,7,2,7,3,6,7,3,3,1,3,2,1,3,3,3,3,1,3,1,2,4,2,2,2,4,3,3,5,1,2,2,4,3,4,5,5,1,5,5,2,5,5,4,4,2,4,5,3,3,4,3,4,4,1,3,4,5
Professor,Male,Psychology,,45,Georgia,Three months,,75-50%,No,Standard,Office,,Hands-off,> 50,20,70,0,10,100,Every 3-4 hours,,Answer email as it comes,Yes,1,NIH,,10-20%,1-2 months,1-3 months,More,50,50,0,0,100,80,20,0,0,100,1-3 hours before deadline,Significantly  more,4,4,3,4,4,,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,4,2,5,5,4,3,3,1,3,1,1,2,3,1,2,4,1,1,3,3,1,4,2,1,4,1,4,4,3,5,3,2,3,2,2,3,2,5,3,4,1,5,2,5,2,1,5,2,3,1,3,3,4,4,5,1,1
Professor,Female,Engineering,,23,New Mexico,Three months,,Fully funded,No,Standard,Home,,Hands-off,40-50,30,30,30,10,100,Every 3-4 hours,,Answer email in batches once  or twice per day,Yes,2,NSF,,30-50%,> 2 months,> 12 months,More,70,20,10,0,100,30,30,30,10,100,2 or more days before deadline,Same,3,1,1,3,1,"I have learned to plan far in advance with a small child at home.  What's hard is collaborating with people who do everything last minute.  Also, my institution is not terribly competent, so I spend a ton of time on administrative tasks, which frankly causes a fair amount of my stress.",Yes,3,A,75-90%,1-2 months,6-12 months,More,80,20,0,0,100,30,30,30,10,100,3-6 hours before deadline,Same,3,2,1,3,1,Students often push papers right up to the conference deadline.  ,4,1,3,3,5,2,2,1,3,1,1,2,3,2,1,3,1,1,4,4,1,4,1,1,4,1,4,4,1,4,3,2,4,5,1,2,2,5,3,3,1,5,2,5,1,1,4,1,5,1,3,5,3,1,5,1,2
Assistant Professor,Male,Other,Management,25,California,3,3,Not funded,Yes,Heavy,Home,,Hands-on,> 50,40,30,20,10,100,Every 1-2 hours,,Answer email as it comes,Yes,1,NSF,,< 10%,> 2 months,1-3 months,More,60,20,20,0,100,80,10,10,,100,1 day before deadline,Significantly  more,4,2,2,1,4,Significant burden coordinating with research development/grant office who coordinate the submission,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,3,1,4,5,6,6,3,3,2,3,1,3,2,3,2,2,2,2,1,1,2,2,3,3,2,3,4,5,2,2,1,4,4,5,5,5,2,4,4,2,3,4,1,4,4,3,4,4,2,3,1,2,4,1,4,3,1
Professor,Male,Engineering,,34,Ohio,Three months,,100-75%,Yes,Heavy,Home,,Hands-on,40-50,30,30,20,20,100,Every 3-4 hours,,Answer email in batches once  or twice per day,Yes,1,NIH,,30-50%,> 2 months,> 12 months,More,40,30,10,20,100,40,30,20,10,100,3-6 hours before deadline,Significantly  more,3,2,2,3,2,,Yes,1,B,75-90%,1-2 months,6-12 months,About the same,30,30,20,20,100,30,30,20,20,100,1 day before deadline,Same,2,2,2,2,2,,3,2,5,5,4,4,2,3,2,2,1,2,3,2,2,3,2,2,3,2,2,3,3,1,3,2,5,4,3,3,1,2,2,4,4,4,3,4,2,3,4,4,2,4,4,3,4,2,3,2,4,4,4,3,4,4,2
Assistant Professor,Male,Other,Informatics,16,Pennsylvania,Three months,,50-25%,No,Standard,I'm Working at Home During the COVID Pandemic but Otherwise I Would Work in the Office,I'm working at home during the COVID pandemic but otherwise I would work in the office,Hands-off,> 50,40,30,20,10,100,Every 1-2 hours,,Answer email as it comes,Yes,3,NSF,,10-20%,1-2 months,6-12 months,Significantly more,60,30,10,0,100,60,30,10,0,100,1 day before deadline,Significantly  more,2,3,1,3,3,"I turn in my proposal documents to my research office a day in advance of them actually submitting the proposal, so that they can perform compliance checking.",Yes,3,A,20-30%,2-4 weeks,6-12 months,More,60,30,10,0,100,60,30,10,0,100,1-3 hours before deadline,Significantly  more,3,2,1,2,2,"My research style is more managerial than hands-on, which means that I'm encouraging students to follow a reasonable timeline for publications rather than implementing the work directly.",5,1,3,6,5,3,3,2,2,3,2,2,3,2,2,3,3,2,2,2,2,2,3,3,3,3,2,4,2,3,2,4,4,4,3,5,3,5,4,2,3,4,4,5,1,3,4,1,5,3,4,4,4,2,5,3,2
Assistant Professor,Male,Engineering,,13,Pennsylvania,Three months,,Fully funded,No,Standard,Home,,Hands-on,30-40,40,30,20,10,100,Every 1-2 hours,,Answer email as it comes,Yes,4,NSF,,10-20%,1-2 months,1-3 months,Significantly more,60,30,10,0,100,80,10,10,0,100,1 day before deadline,Significantly  more,3,2,1,1,3,,Yes,4,A,30-50%,2-4 weeks,3-6 months,More,60,30,10,0,100,70,20,10,0,100,1 day before deadline,Same,2,1,1,1,2,,3,1,1,4,2,3,3,2,3,1,1,3,3,2,2,3,1,2,3,2,1,3,2,2,4,2,5,4,2,4,3,2,2,5,3,2,2,5,3,1,2,3,1,3,1,2,5,3,3,2,1,3,3,1,3,2,1
Professor,Female,Engineering,,17,Florida,Three months,,75-50%,No,Heavy,Office,,Hands-on,> 50,20,60,10,10,100,Every 3-4 hours,,Answer email in batches once  or twice per day,Yes,2,NSF,,20-30%,> 2 months,> 12 months,Significantly more,60,40,0,0,100,50,40,10,0,100,3-6 hours before deadline,Significantly  more,5,3,1,5,4,"I don't see why deadlines are needed.  With no deadlines, people only submit when they are ready, decreasing the burden on everyone.",No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,4,1,6,2,7,5,2,3,2,3,2,1,2,2,2,2,1,2,2,2,3,1,2,1,4,2,4,3,1,3,1,3,4,5,1,3,3,5,4,1,1,4,3,5,1,2,5,2,3,2,1,4,4,1,5,4,3
Assistant Professor,Male,Engineering,,9,Ohio,Three months,,Fully funded,Yes,Standard,Home,,Hands-off,> 50,30,50,10,10,100,Every 1-2 hours,,Answer email in batches once  or twice per day,Yes,3,DOE,,20-30%,2-4 weeks,1-3 months,Significantly more,70,30,,,100,80,20,,,100,3-6 hours before deadline,Same,5,5,3,4,4,"I greatly prefer calls that have a pre-proposal or screening stage.  Partly because it spreads out the work a bit over two deadlines, but also because it if I spend an entire week losing sleep I want to have a reasonable chance at actually receiving the award.",No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,4,1,4,4,4,6,1,2,2,2,2,1,3,2,1,2,1,1,2,3,1,2,1,2,4,1,1,3,1,3,2,4,2,5,2,4,2,5,1,3,2,5,2,5,2,1,5,2,5,1,2,4,1,3,4,1,1
Associate Professor,Female,Chemistry,,10,Florida,Three months,,75-50%,Yes,Heavy,Home,,Hands-on,> 50,30,10,50,10,100,Other,every 4-6 hours,Answer email in batches once  or twice per day,Yes,4,NIJ,NIJ,< 10%,> 2 months,1-3 months,Significantly more,50,10,40,0,100,50,,50,0,100,2 or more days before deadline,Significantly  more,3,3,2,4,3,,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,7,2,7,5,7,7,3,3,3,2,2,1,3,4,2,3,1,2,3,2,1,3,2,2,3,2,4,5,2,4,5,4,3,5,4,3,4,4,5,2,5,4,4,4,1,4,3,4,3,5,2,3,5,1,4,4,4
Associate Professor,Male,Chemistry,,44,Illinois,Three months,,Fully funded,Yes,Heavy,Home,,Hands-off,> 50,30,50,10,10,100,Every 1-2 hours,,Answer email as it comes,Yes,1,NSF,,20-30%,2-4 weeks,1-3 months,Significantly more,0,30,70,0,100,0,0,100,0,100,1-3 hours before deadline,Significantly  more,3,4,1,1,2,,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,6,3,5,3,6,4,3,2,2,1,1,2,3,2,2,4,1,2,3,2,1,3,1,3,3,3,1,3,4,3,5,4,2,4,2,5,2,4,2,2,2,5,1,4,1,1,5,1,5,2,4,5,5,1,3,4,1
Professor,Male,Engineering,,16,Pennsylvania,Three months,,Fully funded,Yes,Heavy,Home,,Hands-on,> 50,40,40,10,10,100,Every 3-4 hours,,Answer email in batches once  or twice per day,Yes,2,DOD,,20-30%,> 2 months,3-6 months,More,60,30,10,0,100,40,40,10,10,100,2 or more days before deadline,Significantly less,3,2,2,2,2,Proposal to DoD (including STTRs to the services) are interactive and solicited and are quite different than NSF/NIH/DoE,Yes,1,A,50-75%,> 2 months,3-6 months,More,50,40,10,0,100,40,40,10,10,100,2 or more days before deadline,Same,1,1,1,2,1,,6,2,2,6,6,1,3,1,3,1,1,3,3,2,1,3,1,1,4,3,1,3,1,2,4,1,3,4,1,2,4,4,3,5,1,4,5,4,2,4,2,4,2,4,4,2,4,1,4,2,4,4,2,5,4,2,2
Assistant Professor,Male,Biology,,11,Texas,Three months,,Fully funded,No,Standard,Office,,Hands-on,> 50,60,20,10,10,100,Every 3-4 hours,,Answer email as it comes,Yes,2,NSF,,10-20%,> 2 months,> 12 months,More,80,10,10,0,100,100,0,0,0,100,2 or more days before deadline,Same,3,4,2,3,4,,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,2,2,2,5,4,1,2,2,2,2,1,1,2,2,1,3,1,2,3,3,1,3,1,1,3,1,2,4,1,4,1,4,3,5,3,4,5,5,3,4,3,4,4,5,5,2,5,3,4,3,4,5,4,5,4,2,4
Professor,Male,Physics,,46,Texas,1.5,1.5,75-50%,Yes,Standard,Home,,Hands-on,40-50,30,,60,10,100,Every 3-4 hours,,Answer email as it comes,Yes,2,NASA,,50-75%,1-2 months,< 1 month,About the same,50,,40,10,100,30,,60,10,100,1 day before deadline,Same,2,1,1,1,1,,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,4,1,2,6,5,1,2,1,3,2,1,2,2,1,2,2,1,2,2,2,1,2,2,2,3,1,1,4,1,2,4,4,4,5,2,4,2,4,3,1,3,4,1,4,1,3,4,1,4,2,1,2,4,1,3,3,1
Professor,Male,Geosciences,,33,Colorado,Three months,,25-1%,No,Light,Home,,Hands-on,40-50,20,60,,20,100,Every 3-4 hours,,Answer email in batches once  or twice per day,Yes,1,"Petroleum Research Fund (ACS), private industry","Petroleum Research Fund (ACS), private industry",30-50%,> 2 months,1-3 months,About the same,20,60,,20,100,20,60,,20,100,2 or more days before deadline,Significantly less,4,1,1,1,2,"I have been doing proposals for 34 years and learned to start early, finish early, and not get consumed by it all.",No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,2,1,1,6,4,1,4,2,4,3,1,2,3,2,2,3,1,2,3,3,1,4,2,2,3,2,3,5,3,2,5,5,3,5,1,4,2,5,3,4,1,5,3,5,1,2,5,2,3,1,1,5,4,2,5,1,3
Assistant Professor,Female,Engineering,,9,Ohio,Three months,,50-25%,No,Light,Office,,Hands-off,40-50,20,50,20,10,100,Every 3-4 hours,,Answer email in batches once  or twice per day,Yes,2,NSF,,< 10%,> 2 months,6-12 months,More,70,20,10,0,100,50,40,10,0,100,3-6 hours before deadline,Significantly  more,4,3,2,4,3,"Most professors I know, myself included, tend to procrastinate a bit on the writing until a deadline is approaching. The level of productivity and stress both rise significantly during the week or two leading up to a deadline. Personally, I submit to directorates within NSF that have a deadline and that have open submission windows. I submitted to both recently within a couple weeks of each other and the process of submitting without the deadline was significantly less stressful. However, if submitting as a sole PI, I'm not sure that without having a deadline I would have been disciplined enough to submit. It really helps to have multiple PIs on a proposal to motivate submission for an open window.",No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,5,1,3,3,5,2,3,2,3,1,2,2,3,1,2,3,1,2,3,3,2,3,2,1,4,1,2,5,1,4,5,4,3,4,2,2,4,4,4,2,2,4,4,4,4,2,4,4,2,2,4,4,4,2,4,2,2
Assistant Professor,Male,Engineering,,16,California,Three months,,100-75%,No,Standard,Home,,Hands-on,> 50,40,30,10,20,100,Every 3-4 hours,,Answer email as it comes,Yes,4,NIH,,< 10%,> 2 months,3-6 months,Significantly more,60,20,10,10,100,20,20,30,30,100,2 or more days before deadline,Same,4,4,4,4,3,"It's not the deadlines, it's the binary nature of grant funding. If 20 awards get funded, and you are ranked 21, you may as well as been ranked 1000. Large agencies (NIH, NSF) should create sliding scale mechanisms: We won't give you 1 million, but here is 50k/100k to continue developing the prelim data. This becomes important for providing certainty/flexibility for graduate students and postdocs, and allows more efficient use of research funds and directions.",No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,5,2,6,5,5,3,3,3,2,2,2,1,2,3,2,2,1,3,2,3,2,1,2,2,3,2,5,4,2,4,4,1,3,4,5,4,2,4,2,4,4,4,2,4,3,3,4,3,4,3,2,4,4,4,4,3,2
Assistant Professor,Female,Computer Science,,5,Colorado,Three months,,50-25%,No,Standard,Office,,Hands-on,40-50,50,30,10,10,100,Every hour,,Answer email in batches once  or twice per day,Yes,2,NSF,,20-30%,1-2 months,3-6 months,More,60,30,0,10,100,50,30,10,10,100,1 day before deadline,Same,4,2,2,2,3,,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,4,3,4,5,4,5,3,2,2,2,2,3,3,2,2,3,1,2,2,3,2,3,2,2,3,2,4,5,1,3,1,4,1,4,3,4,4,5,3,2,3,4,5,5,3,2,3,2,4,2,5,3,4,3,5,3,4
Professor,Male,Computer Science,,43,Colorado,Three months,,Not funded,No,Standard,Home,,Hands-off,> 50,30,40,20,10,100,Every 3-4 hours,,Answer email in batches once  or twice per day,Yes,1,NSF,,30-50%,1-2 months,< 1 month,About the same,40,40,10,10,100,30,40,20,10,100,1 day before deadline,Same,2,2,2,2,2,"I try to avoid last minute work as too stressful. I'm usually collaborating with others, and sometimes the stress falls on them.",Yes,1,B,75-90%,2-4 weeks,1-3 months,About the same,30,40,20,10,100,30,40,20,10,100,1 day before deadline,Same,2,2,2,2,2,"I try to avoid last minute work as too stressful. Also, at my career stage now much hangs on acceptance or rejection.",5,1,2,6,4,2,3,2,3,1,1,3,3,1,1,3,1,1,4,3,1,3,1,1,3,1,2,4,5,4,2,4,2,2,2,4,2,4,1,2,1,4,2,4,1,2,4,2,4,2,2,4,2,2,4,1,2
